land,population,christians,muslims,unaf,hindu,buddhist,folk,other,jewish
St. Pierre and Miquelon, 10000,94.7,0.2,3.8, 0.1, 0.1, 0.1,1.3, 0.1
St. Vincent and the Gren.,110000,88.7,1.5,2.5,3.4, 0.1,2.0,2.0, 0.1
Sudan,33600000,5.4,90.7,1.0, 0.1, 0.1,2.8, 0.1, 0.1
Suriname,520000,51.6,15.2,5.4,19.8,0.6,5.3,1.8,0.2
Swaziland,1190000,88.1,0.2,10.1,0.1, 0.1,1.0,0.4, 0.1
Sweden,9380000,67.2,4.6,27.0,0.2,0.4,0.2,0.2,0.1
Switzerland,7660000,81.3,5.5,11.9,0.4,0.4, 0.1,0.1,0.3
Syria,20410000,5.2,92.8,2.0, 0.1, 0.1, 0.1, 0.1, 0.1
Taiwan,23220000,5.5, 0.1,12.7, 0.1,21.3,44.2,16.2, 0.1
Tajikistan,6880000,1.6,96.7,1.5, 0.1, 0.1, 0.1, 0.1, 0.1
Tanzania,44840000,61.4,35.2,1.4,0.1, 0.1,1.8, 0.1, 0.1
Thailand,69120000,0.9,5.5,0.3,0.1,93.2, 0.1, 0.1, 0.1
Timor-Leste,1120000,99.6,0.1, 0.1, 0.1, 0.1,0.1, 0.1, 0.1
Togo,6030000,43.7,14.0,6.2, 0.1, 0.1,35.6,0.6, 0.1
Tokelau, 10000,99.8, 0.1, 0.1, 0.1, 0.1, 0.1,0.2, 0.1
Tonga,100000,98.9, 0.1, 0.1,0.1, 0.1, 0.1,0.9, 0.1
Trinidad and Tobago,1340000,65.9,5.9,1.9,22.7,0.3,1.9,1.4, 0.1
Tunisia,10480000,0.2,99.5,0.2, 0.1, 0.1, 0.1, 0.1, 0.1
Turkey,72750000,0.4,98.0,1.2, 0.1, 0.1, 0.1,0.2, 0.1
Turkmenistan,5040000,6.4,93.0,0.5, 0.1, 0.1, 0.1, 0.1, 0.1
Turks and Caicos Islands,40000,92.1, 0.1,4.6, 0.1, 0.1,2.7,0.6, 0.1
Tuvalu, 10000,96.7,0.1,1.3, 0.1, 0.1, 0.1,1.9, 0.1
U.S. Virgin Islands,110000,94.8,0.1,3.7,0.4, 0.1, 0.1,0.6,0.3
Uganda,33420000,86.7,11.5,0.5,0.3, 0.1,0.9,0.1, 0.1
Ukraine,45450000,83.8,1.2,14.7, 0.1, 0.1, 0.1, 0.1,0.1
United Arab Emirates,7510000,12.6,76.9,1.1,6.6,2.0, 0.1,0.8, 0.1
United Kingdom,62040000,71.1,4.4,21.3,1.3,0.4,0.3,0.8,0.5
United States,310380000,78.3,0.9,16.4,0.6,1.2,0.2,0.6,1.8
